Gmt time,Ask,Bid,AskVolume,BidVolume
24.06.2024 00:00:00.189,4.881,4.842,1200,1200
24.06.2024 00:00:00.290,4.878,4.845,900,1200
24.06.2024 00:00:00.491,4.88,4.843,900,1200
24.06.2024 00:00:00.592,4.878,4.845,900,1200
24.06.2024 00:00:00.792,4.88,4.844,900,1200
24.06.2024 00:00:00.993,4.878,4.845,900,1200
24.06.2024 00:00:01.144,4.881,4.843,900,1200
24.06.2024 00:00:01.345,4.879,4.844,900,1200
24.06.2024 00:00:11.211,4.88,4.845,900,900
24.06.2024 00:01:05.869,4.881,4.845,1200,1200
24.06.2024 00:01:06.070,4.88,4.846,900,900
24.06.2024 00:01:06.421,4.879,4.846,900,900
24.06.2024 00:01:07.574,4.881,4.843,900,1200
24.06.2024 00:01:10.331,4.881,4.844,900,1200
24.06.2024 00:01:16.046,4.88,4.846,900,900
24.06.2024 00:01:24.169,4.88,4.841,900,1200
24.06.2024 00:01:28.783,4.879,4.841,900,1200
24.06.2024 00:01:30.839,4.881,4.8389999999999995,1200,1200
24.06.2024 00:01:31.140,4.879,4.84,900,1200
24.06.2024 00:01:31.492,4.882,4.838,1200,1200
24.06.2024 00:01:31.793,4.879,4.84,900,1200
24.06.2024 00:01:31.994,4.881,4.8389999999999995,1200,1200
24.06.2024 00:01:32.144,4.879,4.84,900,1200
24.06.2024 00:01:32.295,4.881,4.8389999999999995,1200,1200
24.06.2024 00:01:32.495,4.88,4.8389999999999995,900,1200
24.06.2024 00:01:32.797,4.882,4.838,1200,1200
24.06.2024 00:01:33.148,4.879,4.84,900,1200
24.06.2024 00:01:37.670,4.88,4.84,1200,1200
24.06.2024 00:01:47.191,4.879,4.8389999999999995,1200,1200
24.06.2024 00:01:55.260,4.88,4.8389999999999995,1200,1200
24.06.2024 00:01:57.116,4.878,4.838,1200,7199.9998
24.06.2024 00:01:57.267,4.879,4.838,1200,1200
24.06.2024 00:01:57.718,4.88,4.838,1200,4500
24.06.2024 00:01:57.819,4.878,4.8389999999999995,1200,1200
24.06.2024 00:01:58.321,4.878,4.84,1200,1200
24.06.2024 00:02:03.632,4.879,4.84,1200,1200
24.06.2024 00:02:06.939,4.878,4.8389999999999995,1200,1200
24.06.2024 00:02:13.952,4.878,4.8389999999999995,1200,1200
24.06.2024 00:02:14.053,4.878,4.8389999999999995,1200,1200
24.06.2024 00:02:14.454,4.879,4.838,1200,1200
24.06.2024 00:02:14.805,4.877,4.84,1200,1200
24.06.2024 00:02:15.006,4.878,4.8389999999999995,1200,1200
24.06.2024 00:02:15.408,4.878,4.8389999999999995,1200,1200
24.06.2024 00:02:22.629,4.877,4.841,1200,1200
24.06.2024 00:02:22.930,4.877,4.838,1200,1200
24.06.2024 00:02:24.736,4.876,4.84,1200,1200
24.06.2024 00:02:29.096,4.877,4.84,1200,1200
24.06.2024 00:02:34.207,4.878,4.841,1200,1200
24.06.2024 00:02:34.458,4.879,4.8389999999999995,1200,1200
24.06.2024 00:02:34.560,4.877,4.841,1200,1200
24.06.2024 00:02:34.710,4.879,4.8389999999999995,1200,1200
24.06.2024 00:02:34.861,4.877,4.841,1200,1200
24.06.2024 00:02:34.962,4.877,4.84,1200,1200
24.06.2024 00:02:35.213,4.876,4.842,1200,1200
24.06.2024 00:02:38.269,4.875,4.842,1200,1200
24.06.2024 00:02:38.771,4.876,4.842,1200,1200
24.06.2024 00:02:47.263,4.876,4.843,1200,1200
24.06.2024 00:02:49.318,4.877,4.843,1200,1200
24.06.2024 00:02:52.776,4.877,4.843,1200,1200
24.06.2024 00:02:52.927,4.876,4.844,1200,1200
24.06.2024 00:02:53.179,4.877,4.842,1200,1200
24.06.2024 00:02:53.280,4.876,4.844,1200,1200
24.06.2024 00:02:53.431,4.877,4.843,1200,1200
24.06.2024 00:02:53.581,4.876,4.844,1200,1200
24.06.2024 00:02:53.682,4.878,4.842,1200,1200
