Gmt time,Ask,Bid,AskVolume,BidVolume
24.06.2024 00:00:00.085,97.72,97.708,1320.0001,1200
24.06.2024 00:00:00.188,97.72200000000001,97.71100000000001,1210,1200
24.06.2024 00:00:02.198,97.723,97.712,1200,1200
24.06.2024 00:00:02.751,97.72500000000001,97.715,1200,1200
24.06.2024 00:00:02.852,97.728,97.719,1200,1200
24.06.2024 00:00:02.954,97.73,97.721,1320.0001,1200
24.06.2024 00:00:04.361,97.73,97.719,1320.0001,1200
24.06.2024 00:00:05.668,97.73,97.721,1320.0001,1200
24.06.2024 00:00:08.838,97.73,97.71799999999999,1320.0001,1200
24.06.2024 00:00:08.889,97.726,97.71700000000001,1200,1200
24.06.2024 00:00:09.192,97.724,97.715,1200,1800
24.06.2024 00:00:10.098,97.72200000000001,97.713,1200,1200
24.06.2024 00:00:11.105,97.724,97.714,1200,1200
24.06.2024 00:00:11.206,97.72500000000001,97.715,1200,1120
24.06.2024 00:00:11.257,97.73,97.72,1620,1200
24.06.2024 00:00:11.360,97.73,97.72,1240,1200
24.06.2024 00:00:11.664,97.73,97.72,1120,1200
24.06.2024 00:00:12.930,97.726,97.71700000000001,1200,1200
24.06.2024 00:00:15.647,97.726,97.715,1200,1200
24.06.2024 00:00:15.850,97.728,97.71700000000001,1320.0001,1200
24.06.2024 00:00:16.506,97.729,97.719,1200,1200
24.06.2024 00:00:16.960,97.729,97.719,1320.0001,1200
24.06.2024 00:00:17.514,97.729,97.719,1320.0001,1200
24.06.2024 00:00:20.132,97.727,97.71799999999999,1200,1200
24.06.2024 00:00:20.634,97.728,97.719,1200,1200
24.06.2024 00:00:21.289,97.73,97.72,1200,1200
24.06.2024 00:00:23.103,97.735,97.727,1200,1200
24.06.2024 00:00:23.154,97.735,97.72500000000001,1200,1200
24.06.2024 00:00:23.306,97.73200000000001,97.72200000000001,1200,1200
24.06.2024 00:00:23.408,97.73100000000001,97.721,1200,1200
24.06.2024 00:00:23.912,97.729,97.719,1200,1200
24.06.2024 00:00:24.064,97.73100000000001,97.721,1200,1200
24.06.2024 00:00:25.473,97.73100000000001,97.721,1320.0001,1200
24.06.2024 00:00:26.128,97.73,97.72,1320.0001,1200
24.06.2024 00:00:26.280,97.729,97.71799999999999,1620,1200
24.06.2024 00:00:26.433,97.727,97.71700000000001,1210,1200
24.06.2024 00:00:26.736,97.726,97.71600000000001,1320.0001,1200
24.06.2024 00:00:28.698,97.727,97.71700000000001,1320.0001,1200
24.06.2024 00:00:29.202,97.729,97.719,1320.0001,1200
24.06.2024 00:00:29.354,97.728,97.71799999999999,1320.0001,1200
24.06.2024 00:00:30.362,97.726,97.71600000000001,1320.0001,1200
24.06.2024 00:00:31.973,97.73,97.72,1210,1200
24.06.2024 00:00:37.904,97.729,97.71799999999999,1200,1200
24.06.2024 00:00:38.157,97.728,97.71700000000001,1200,1200
24.06.2024 00:00:38.760,97.726,97.715,1200,1200
24.06.2024 00:00:43.086,97.727,97.71600000000001,1200,1200
24.06.2024 00:00:43.439,97.728,97.71799999999999,1200,1200
24.06.2024 00:00:45.050,97.73,97.719,1200,1200
24.06.2024 00:00:50.178,97.73100000000001,97.721,1200,1200
24.06.2024 00:00:50.280,97.73299999999999,97.723,1320.0001,1200
24.06.2024 00:00:50.582,97.73299999999999,97.723,1200,1200
24.06.2024 00:00:52.242,97.73299999999999,97.721,1200,1200
24.06.2024 00:00:52.393,97.73299999999999,97.723,1200,1200
24.06.2024 00:00:52.746,97.73299999999999,97.721,1200,1800
24.06.2024 00:00:53.149,97.73299999999999,97.723,1200,1200
24.06.2024 00:00:53.251,97.73299999999999,97.721,1200,1200
24.06.2024 00:00:53.452,97.73200000000001,97.72,1200,1800
24.06.2024 00:00:53.554,97.73100000000001,97.72,1200,1800
24.06.2024 00:00:53.605,97.73200000000001,97.72200000000001,1200,1500
24.06.2024 00:00:53.656,97.734,97.723,1200,1500
24.06.2024 00:00:53.707,97.73200000000001,97.72200000000001,1200,1200
24.06.2024 00:01:00.149,97.73100000000001,97.72200000000001,1320.0001,1200
24.06.2024 00:01:00.804,97.73200000000001,97.721,1240,1200
24.06.2024 00:01:02.917,97.73200000000001,97.72200000000001,1240,1200
24.06.2024 00:01:03.672,97.727,97.715,1240,1200
24.06.2024 00:01:04.076,97.726,97.71000000000001,1320.0001,2099.9999
24.06.2024 00:01:04.830,97.726,97.71000000000001,1320.0001,2099.9999
24.06.2024 00:01:05.284,97.727,97.71100000000001,1240,1500
24.06.2024 00:01:05.737,97.727,97.71100000000001,1240,1500
24.06.2024 00:01:06.342,97.724,97.71100000000001,1200,1500
24.06.2024 00:01:06.796,97.724,97.712,1200,1500
24.06.2024 00:01:06.899,97.724,97.712,1200,1200
24.06.2024 00:01:07.000,97.724,97.71000000000001,1200,1500
24.06.2024 00:01:07.253,97.723,97.709,1200,2099.9999
24.06.2024 00:01:07.455,97.71700000000001,97.704,1200,1500
24.06.2024 00:01:07.759,97.71799999999999,97.708,1200,1200
24.06.2024 00:01:08.817,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:10.025,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:10.127,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:12.037,97.713,97.704,1320.0001,1200
24.06.2024 00:01:12.490,97.713,97.704,1320.0001,1200
24.06.2024 00:01:13.497,97.713,97.704,1200,1200
24.06.2024 00:01:13.599,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:13.851,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:15.508,97.71700000000001,97.706,1320.0001,1200
24.06.2024 00:01:16.011,97.713,97.70299999999999,1200,1200
24.06.2024 00:01:16.415,97.715,97.706,1320.0001,1200
24.06.2024 00:01:16.516,97.715,97.704,1320.0001,1200
24.06.2024 00:01:17.371,97.715,97.704,1320.0001,1200
24.06.2024 00:01:18.277,97.715,97.704,1620,1200
24.06.2024 00:01:20.437,97.715,97.704,1620,1200
24.06.2024 00:01:21.293,97.715,97.704,1620,1200
24.06.2024 00:01:21.595,97.715,97.704,1620,1200
24.06.2024 00:01:22.247,97.715,97.704,1620,1200
24.06.2024 00:01:23.253,97.715,97.704,1620,1200
24.06.2024 00:01:24.156,97.715,97.705,1620,1200
24.06.2024 00:01:25.113,97.71600000000001,97.706,1240,1200
24.06.2024 00:01:25.164,97.71799999999999,97.708,1620,1200
24.06.2024 00:01:26.622,97.71600000000001,97.70700000000001,1320.0001,1200
24.06.2024 00:01:26.724,97.71600000000001,97.70700000000001,1620,1200
24.06.2024 00:01:27.530,97.715,97.7,1240,1800
24.06.2024 00:01:27.581,97.71100000000001,97.697,1200,1120
24.06.2024 00:01:27.683,97.71100000000001,97.698,1120,1200
24.06.2024 00:01:27.885,97.71100000000001,97.697,1120,1200
24.06.2024 00:01:28.790,97.71100000000001,97.697,1240,1200
24.06.2024 00:01:29.695,97.71100000000001,97.69600000000001,1240,1800
24.06.2024 00:01:30.955,97.709,97.697,1200,1200
