Gmt time,Ask,Bid,AskVolume,BidVolume
24.06.2024 00:00:46.858,1.51571,1.51527,120,110
24.06.2024 00:00:47.160,1.51564,1.5152200000000002,160,160
24.06.2024 00:00:47.763,1.5156,1.51525,130,120
24.06.2024 00:00:48.165,1.51568,1.51526,130,130
24.06.2024 00:00:50.173,1.5156900000000002,1.5153100000000002,90,140
24.06.2024 00:00:51.128,1.5157000000000003,1.51535,400,140
24.06.2024 00:00:51.329,1.5157100000000001,1.5153,150,140
24.06.2024 00:00:51.982,1.51574,1.5152900000000002,130,80
24.06.2024 00:00:53.237,1.5157100000000001,1.5153400000000001,150,150
24.06.2024 00:00:53.539,1.5157800000000001,1.5153999999999999,80,140
24.06.2024 00:00:53.690,1.5157699999999998,1.51535,400,100
24.06.2024 00:00:54.242,1.5158099999999999,1.5154200000000002,410,130
24.06.2024 00:00:54.594,1.5158,1.5153900000000002,100,120
24.06.2024 00:00:55.498,1.5158500000000001,1.51547,100,70
24.06.2024 00:00:56.502,1.51586,1.5154100000000001,90,70
24.06.2024 00:01:00.168,1.5158999999999998,1.51545,70,150
24.06.2024 00:01:00.820,1.5158300000000002,1.51549,90,120
24.06.2024 00:01:05.822,1.5158699999999998,1.5155500000000002,140,110
24.06.2024 00:01:06.776,1.5158600000000002,1.51548,150,160
24.06.2024 00:01:07.129,1.5158300000000002,1.5154800000000002,80,120
24.06.2024 00:01:07.230,1.5158800000000001,1.51555,90,100
24.06.2024 00:01:07.331,1.51591,1.51559,500,80
24.06.2024 00:01:08.187,1.51595,1.5155,80,90
24.06.2024 00:01:09.091,1.51593,1.51557,130,170
24.06.2024 00:01:14.260,1.5159500000000001,1.51556,100,130
24.06.2024 00:01:14.712,1.51597,1.51554,120,150
24.06.2024 00:01:27.704,1.5159300000000002,1.51559,150,70
24.06.2024 00:01:29.159,1.5159,1.5156100000000001,150,80
24.06.2024 00:01:30.714,1.51598,1.51556,150,80
24.06.2024 00:01:32.220,1.5159900000000002,1.51559,80,90
24.06.2024 00:01:34.429,1.51591,1.5156100000000001,100,160
24.06.2024 00:01:38.862,1.51594,1.5156,160,150
24.06.2024 00:01:44.333,1.5158800000000001,1.51556,140,70
24.06.2024 00:01:51.153,1.51589,1.5155,90,120
24.06.2024 00:01:51.455,1.5158800000000001,1.5155,100,90
24.06.2024 00:01:51.907,1.5158800000000001,1.5155100000000001,70,160
24.06.2024 00:01:52.309,1.51591,1.51554,90,100
24.06.2024 00:01:53.212,1.51587,1.5155600000000002,100,130
24.06.2024 00:01:54.065,1.51587,1.5155000000000003,80,160
24.06.2024 00:01:56.974,1.51589,1.5155700000000003,150,90
24.06.2024 00:01:57.576,1.51592,1.51554,80,80
24.06.2024 00:01:57.778,1.5159,1.51547,120,100
24.06.2024 00:01:58.481,1.51592,1.51554,160,140
24.06.2024 00:01:59.435,1.51585,1.5155500000000002,90,130
24.06.2024 00:01:59.736,1.51585,1.5155600000000002,120,150
24.06.2024 00:02:00.841,1.5159300000000002,1.51557,90,70
24.06.2024 00:02:01.193,1.51592,1.5155000000000003,150,110
24.06.2024 00:02:04.858,1.5159099999999999,1.5155100000000001,130,90
24.06.2024 00:02:05.310,1.5158900000000002,1.51556,80,140
24.06.2024 00:02:05.662,1.51585,1.51557,160,70
